Chinese,Japanese,Group,Speed(+-10)
「八日」,ようか,日暦,-6
「九日」,ここのか,日暦,-6
「十日」,とおか,日暦,-6
「十四日」,じゅうよっか,日暦,-6
「二十日」,はつか,日暦,-6
「二十四日」,にじゅうよっか,日暦,-6
「何日」,なんにち,日暦,-6
起床,起きます,一天的生活,-6
開窗,窓を開けます,一天的生活,-6
洗臉,顔を洗います,一天的生活,-6
刷牙,歯を磨きます,一天的生活,-6
梳頭,髪を梳かします,一天的生活,-6
穿衣服,服を着ます,一天的生活,-6
沏茶,お茶を入れます,一天的生活,-6
喝茶,お茶を飲みます,一天的生活,-6
吃早飯,朝ご飯を食べます,一天的生活,-6
抽煙,タバコを吸います,一天的生活,-6
看報紙,新聞を読みます,一天的生活,-6
穿鞋,靴を履きます,一天的生活,-6
關門,ドアを閉めます,一天的生活,-6
鎖門,鍵をかけます,一天的生活,-6
扔垃圾,ごみを出します,一天的生活,-6
去公司,会社へ行きます,一天的生活,-6
買車票,切符を買います,一天的生活,-6
看雑誌,雑誌を読みます,一天的生活,-6
聽音樂,音楽を聴きます,一天的生活,-6
發E-mail,メールを出します,一天的生活,-6
看文件,書類を読みます,一天的生活,-6
寫信,手紙を書きます,一天的生活,-6
貼郵票,切手を貼ります,一天的生活,-6
發信,手紙を出します,一天的生活,-6
打電話,電話をかけます,一天的生活,-6
發傳真,ファックスを送ります,一天的生活,-6
作資料,資料を作ります,一天的生活,-6
去銀行,銀行へ行きます,一天的生活,-6
付款,お金を払います,一天的生活,-6
洗車,車を洗います,一天的生活,-6
拍照片,写真を撮ります,一天的生活,-6
回家,家へ帰ります,一天的生活,-6
開鎖,鍵を開けます,一天的生活,-6
開門,ドアを開けます,一天的生活,-6
脫鞋,靴を脱ぎます,一天的生活,-6
脫衣服,服を脱ぎます,一天的生活,-6
開燈,電気をつけます,一天的生活,-6
開電視,テレビをつけます,一天的生活,-6
看電視,テレビを見ます,一天的生活,-6
做飯,料理を作ります,一天的生活,-6
洗淋浴,シャワーを浴びます,一天的生活,-6
洗澡,体を洗います,一天的生活,-6
洗頭發,頭を洗います,一天的生活,-6
關窗,窓を閉めます,一天的生活,-6
關燈,電気を消します,一天的生活,-6
睡覺,寝ます,一天的生活,-6
「中国人」,ちゅうごくじん,第一課,-6
「日本人」,にほんじん,第一課,-6
「韓国人」,かんこくじん,第一課,-6
美國人,アメリカじん,第一課,-6
法國人,フランスじん,第一課,-6
「学生」,がくせい,第一課,-6
「先生」,せんせい,第一課,-6
「留学生」,りゅうがくせい,第一課,-6
「教授」,きょうじゅ,第一課,-6
「社員」;職員,しゃいん,第一課,-6
「会社員」;公司職員,かいしゃいん,第一課,-6
「店員」,てんいん,第一課,-6
「研修生」,けんしゅうせい,第一課H,-6
「企業」,きぎょう,第一課,-6
「大学」,だいがく,第一課,-6
「父」,ちち,第一課,-6
「課長」;科長,かちょう,第一課,-6
「社長」;總經理,しゃちょう,第一課,-6
「出迎え」;迎接,でむかえ,第一課H,-6
那個人,あのひと,第一課H,-6
我,わたし,第一課,-6
袮,あなた,第一課,-6
非常,どうも,第一課,-6
是(應答);是的,はい,第一課,-6
不;不是,いいえ,第一課,-6
（姓）「李」,り,第一課H,-6
（姓）「王」,おう,第一課H,-6
（姓）「張」,ちょう,第一課H,-6
（姓）「森」,もり,第一課H,-6
（姓）「林」,はやし,第一課H,-6
（姓）「小野」,おの,第一課H,-6
（姓）「吉田」,よしだ,第一課H,-6
（姓）「田中」,たなか,第一課H,-6
（姓）「中村」,なかむら,第一課H,-6
（姓）「太郎」,たろう,第一課H,-6
（姓）「金」,キム,第一課H,-6
約翰遜,ジョンソン,第一課H,-6
「中国」,ちゅうごく,第一課,-6
「東京大学」,とうきょうだいがく,第一課,-6
「北京大学」,ペキンだいがく,第一課,-6
「ＪＣ企画」;JC策劃公司,じぇーしきかく,第一課H,-6
「北京旅行社」;北京旅行社,ペキンりょこうしゃ,第一課H,-6
「日中商事」;日中商社,にっちゅうしょうじ,第一課H,-6
請多關照,よろしくおねがいします,第一課,-6
不知道,わかりません,第一課,-6
初次見面,はじめまして,第一課,-6
我才要(請袮~),こちらこそ,第一課,-6
實在對不起,どうもすみません,第一課,-6
「本」書,ほん,第二課,-6
包;公文包,かばん,第二課,-6
筆記本;本子,ノート,第二課,-6
「鉛筆」,えんぴつ,第二課,-6
「傘」,かさ,第二課,-6
「靴」;鞋,くつ,第二課,-6
「新聞」;報紙,しんぶん,第二課,-6
「雑誌」,ざっし,第二課,-6
「辞書」;詞典,じしょ,第二課,-6
照相機,カメラ,第二課,-6
電視機,テレビ,第二課,-6
個人電腦,パソコン,第二課,-6
收音機,ラジオ,第二課,-6
「電話」,でんわ,第二課,-6
「机」;倬子,つくえ,第二課,-6
椅子,いす,第二課,-6
鑰匙;鎖,かぎ,第二課,-6
「時計」;鐘;表,とけい,第二課,-6
「手帳」;記事本,てちょう,第二課,-6
「写真」;照片,しゃしん,第二課,-6
「車」,くるま,第二課,-6
「自転車」;自行車,じてんしゃ,第二課,-6
「お土産」;禮物,おみやげ,第二課,-6
「名産品」;特産;名産,めいさんひん,第二課,-6
絲綢,シルク,第二課,-6
手絹,ハンカチ,第二課,-6
「会社」;公司,かいしゃ,第二課,-6
「方」;(敬稱)位;人,かた,第二課,-6
「人」,ひと,第二課,-6
「家族」;家人;家屬,かぞく,第二課,-6
「母」;(我)母親,はは,第二課,-6
「お母さん」;母親,おかあさん,第二課,-6
「日本語」,にほんご,第二課,-6
「中国語」,ちゅうごくご,第二課,-6
「長島」,ながしま,第二課,-6
汕頭,スワトウ,第二課,-6
倫敦,ロンドン,第二課,-6
多大(年紀),おいくつ,第二課,-6
消息;新聞,ニュース,第二課,-6
「単語」;單詞,たんご,第二課,-6
百貨商店,デパート,第三課,-6
「食堂」,しょくどう,第三課,-6
「郵便局」郵局,ゆうびんきょく,第三課,-6
「銀行」,ぎんこう,第三課,-6
「図書館」,としょかん,第三課,-6
高級公寓,マンション,第三課,-6
賓館,ホテル,第三課,-6
便利店,コンビニ,第三課,-6
「喫茶店」;Coffee館,きっさてん,第三課,-6
「病院」;醫院,びょういん,第三課,-6
「本屋」;書店,ほんや,第三課,-6
餐館,ラストラン,第三課,-6
大樓;大廈,ビル,第三課,-6
「建物」;大樓;建筑物,たてもの,第三課,-6
「売り場」;桂臺;出售處,うりば,第三課,-6
廁所,トイレ,第三課,-6
「入り口」;入口,いりぐち,第三課,-6
「事務所」,じむしょ,第三課,-6
「受付」;接待處,うけつけ,第三課,-6
自動扶梯,エスカレーター,第三課,-6
「服」;衣服,ふく,第三課,-6
風衣;大衣,コート,第三課,-6
數碼相機,デジカメ,第三課,-6
「国」;國家,くに,第三課,-6
「地図」,ちず,第三課,-6
Cheese,チーズ,第三課,-6
「隣」;旁邊,となり,第三課,-6
「周辺」;附近;周邊,しゅうへん,第三課,-6
「今日」;今天,きょう,第三課,-6
「水曜日」;星期三,すいようび,第三課,-6
「木曜日」;星期四,もくようび,第三課,-6
請問;對不起,あのう,第三課,-6
「上海」,シャンハイ,第三課,-6
「東京」,とうきょう,第三課,-6
多少錢,いくら,第三課,-6
皮酒,ビール,第四課,-6
「部屋」;房間,へや,第四課,-6
「庭」;院子,にわ,第四課,-6
「家」,いえ,第四課,-6
「冷蔵庫」冰箱,れいぞうこ,第四課,-6
「本棚」;書架,ほんだな,第四課,-6
「床」,ベッド,第四課,-6
「猫」,ねこ,第四課,-6
「犬」;狗,いぬ,第四課,-6
「箱」盒子;箱子,はこ,第四課,-6
「眼鏡」,めがね,第四課,-6
「子供」;孩子;小孩,こども,第四課,-6
「兄弟」,きょうだい,第四課,-6
「両親」;父母,りょうしん,第四課,-6
「男」,おとこ,第四課,-6
「女」,おんな,第四課,-6
「生徒」;學生,せいと,第四課,-6
「上」;上面,うえ,第四課,-6
「外」;外面,そと,第四課,-6
「中」;里面;中間,なか,第四課,-6
「下」;下面,した,第四課,-6
「前」;前面,まえ,第四課,-6
「後ろ」;后面,うしろ,第四課,-6
「近く」;附近,ちかく,第四課,-6
「場所」;所在地,ばしょ,第四課,-6
「教室」,きょうしつ,第四課,-6
「公園」,こうえん,第四課,-6
「駅」;車站,えき,第四課,-6
「地下鉄」,ちかてつ,第四課,-6
「今」;現在,いま,第五課,-6
「先週」,せんしゅう,第五課,-6
「来週」,らいしゅう,第五課,-6
「今週」,こんしゅう,第五課,-6
「昨日」,きのう,第五課,-6
「明日」,あした,第五課,-6
后天,あさって,第五課,-6
前天,おととい,第五課,-6
「毎日」,まいにち,第五課,-6
「午前」,ごぜん,第五課,-6
「午後」,ごご,第五課,-6
「今朝」,けさ,第五課,-6
「今晩」,こんばん,第五課,-6
「来年」,らいねん,第五課,-6
「去年」,きょねん,第五課,-6
「夜」,よる,第五課,-6
「晩」,ばん,第五課,-6
「朝」,あさ,第五課,-6
「学校」,がっこう,第五課,-6
「試験」;考試,しけん,第五課,-6
「仕事」;工作,しごと,第五課,-6
「遅刻」;遲到,ちこく,第五課,-6
「休み」;休息,やすみ,第五課,-6
「出張」;出差,しゅちょう,第五課,-6
「研修」,けんしゅう,第五課,-6
「旅行」,りょこう,第五課,-6
聯歡會,パーティー,第五課,-6
「お宅」;府上;(袮)家,おたく,第五課,-6
什麼時候,いつ,第五課,-6
「休みます」;休息,やすみます,第五課,-6
「働きます」;工作,はたらきます,第五課,-6
「始まります」;開始,はじまります,第五課,-6
「終わります」;結束,おわります,第五課,-6
「起きます」;起床,おきます,第五課,-6
「寝ます」;睡覺,ねます,第五課,-6
「勉強します」;學習,べんきょうします,第五課,-6
經常;總是,いつも,第五課,-6
「来月」,らいげつ,第六課,-6
「先月」,せんげつ,第六課,-6
「夜中」,よなか,第六課,-6
「昨夜」,ゆうべ,第六課,-6
Concert,コンサート,第六課,-6
Christmas,クリスマス,第六課,-6
「誕生日」,たんじょうび,第六課,-6
「子供の日」,こどものひ,第六課,-6
「夏休み」,なつやすみ,第六課,-6
「春」,はる,第六課,-6
「夏」,なつ,第六課,-6
「秋」,あき,第六課,-6
「冬」,ふゆ,第六課,-6
「交通機関」,こうつうきかん,第六課,-6
「新幹線」,しんかんせん,第六課,-6
「飛行機」,ひこうき,第六課,-6
「電車」,でんしゃ,第六課,-6
Bus,バス,第六課,-6
Taxi,タクシー,第六課,-6
公寓,アパート,第六課,-6
「家」;家(里),うち,第六課,-6
Pool,プール,第六課,-6
「友達」;朋友,ともだち,第六課,-6
「弟」,おとうと,第六課,-6
「行く」,いく,第六課,-6
「帰る」,かえる,第六課,-6
「来る」,くる,第六課,-6
徑直、筆直,まっすぐ,第六課,-6
好象是、的確,たしか,第六課,-6
一起,いっしょに,第六課,-6
「佐藤」,さとう,第六課,-6
「広島」,ひろしま,第六課,-6
「京都」,きょうと,第六課,-6
「北海道」,ほっかいどう,第六課,-6
